CID	ORF	Gene
	YFL034W	YFL034W
	YKL135C	APL2
	YLR170C	APS1
	YPL259C	APM1
	YHL019C	APM2
67	YML065W	ORC1
	YBR060C	ORC2
	YHR118C	ORC6
	YNL261W	ORC5
	YLL004W	ORC3
	YPR162C	ORC4
68	YAL001C	TFC3
	YPL007C	TFC8
	YGR047C	TFC4
	YOR110W	TFC7
	YBR123C	TFC1
	YDR362C	TFC6
69	YDR067C	OCA6
	YHL029C	OCA5
	YNL032W	SIW14
	YNL056W	OCA2
	YCR095C	OCA4
	YNL099C	OCA1
70	YDR006C	SOK1
	YPL154C	PEP4
	YJL146W	IDS2
	YHR146W	CRP1
	YDR233C	RTN1
71	YMR211W	DML1
	YIL125W	KGD1
	YFL018C	LPD1
	YFR049W	YMR31
	YDR148C	KGD2
72	YBR139W	YBR139W
	YDL066W	IDP1
	YJL034W	KAR2
	YMR214W	SCJ1
	YGR205W	YGR205W
73	YBR128C	ATG14
	YLR360W	VPS38
	YLR240W	VPS34
	YBR097W	VPS15
	YPL120W	VPS30
74	YJR045C	SSC1
	YIL022W	TIM44
	YLR203C	MSS51
	YGL056C	SDS23
	YGR155W	CYS4
75	YDR293C	SSD1
	YDL047W	SIT4
	YFR040W	SAP155
	YKR028W	SAP190
	YER155C	BEM2
76	YDR214W	AHA1
	YDR335W	MSN5
	YFR009W	GCN20
	YIL094C	LYS12
	YGL195W	GCN1
77	YLL026W	HSP104
	YPL048W	CAM1
	YAL003W	EFB1
	YKL081W	TEF4
	YBR118W	TEF2
	YLR249W	YEF3
78	YJL099W	CHS6
	YLR330W	CHS5
	YKR027W	BCH2
	YOR299W	BUD7
	YMR237W	BCH1
79	YBL097W	BRN1
	YLR086W	SMC4
	YLR272C	YCS4
	YFR031C	SMC2
	YDR325W	YCG1
80	YPR191W	QCR2
	YDL189W	RBS1
	YDR529C	QCR7
	YLR132C	YLR132C
	YBL045C	COR1
81	YPL085W	SEC16
	YNL049C	SFB2
	YIL109C	SEC24
	YPR181C	SEC23
	YHR098C	SFB3
82	YOL144W	NOP8
	YKL014C	URB1
	YLR221C	RSA3
	YHR066W	SSF1
	YJR041C	URB2
83	YOR132W	VPS17
	YJL053W	PEP8
	YOR069W	VPS5
	YJL154C	VPS35
	YHR012W	VPS29
84	YPL031C	PHO85
	YOL001W	PHO80
	YGR233C	PHO81
	YIL050W	PCL7
	YPL219W	PCL8
85	YNL267W	PIK1
	YNR047W	YNR047W
	YDR001C	NTH1
	YER177W	BMH1
	YDR099W	BMH2
86	YDL203C	ACK1
	YLR371W	ROM2
	YPL066W	YPL066W
	YLR425W	TUS1
	YBR011C	IPP1
87	YIL071C	PCI8
	YDL216C	RRI1
	YMR025W	CSI1
	YDR179C	CSN9
	YOL117W	RRI2
	YDL147W	RPN5
88	YOR276W	CAF20
	YKL204W	EAP1
	YHL034C	SBP1
	YOL139C	CDC33
	YGR162W	TIF4631
89	YAR075W	YAR075W
	YML056C	IMD4
	YHR216W	IMD2
	YAR073W	IMD1
	YLR432W	IMD3
	YOR063W	RPL3
	YNL178W	RPS3
90	YGL044C	RNA15
	YDR228C	PCF11
	YOR250C	CLP1
	YMR061W	RNA14
	YHR216W	IMD2
91	YPR049C	ATG11
	YLR423C	ATG17
	YDR022C	CIS1
	YPL166W	ATG29
92	YGR086C	PIL1
	YPL004C	LSP1
	YDR490C	PKH1
	YKL142W	MRP8
93	YNL262W	POL2
	YDR121W	DPB4
	YBR278W	DPB3
	YPR175W	DPB2
94	YLR216C	CPR6
	YMR186W	HSC82
	YPL240C	HSP82
	YOR027W	STI1
95	YKL088W	YKL088W
	YOR054C	VHS3
	YML016C	PPZ1
	YKR072C	SIS2
96	YOL062C	APM4
	YJR058C	APS2
	YBL037W	APL3
	YJR005W	APL1
97	YNL102W	POL1
	YKL045W	PRI2
	YIR008C	PRI1
	YBL035C	POL12
98	YNL201C	PSY2
	YBL046W	PSY4
	YIL153W	RRD1
	YDR075W	PPH3
	YML010W	SPT5
99	YDL140C	RPO21
	YOR151C	RPB2
	YPR093C	ASR1
	YER139C	YER139C
100	YDR013W	PSF1
	YOL146W	PSF3
	YJL072C	PSF2
	YDR489W	SLD5
101	YKL023W	YKL023W
	YGL213C	SKI8
	YPR189W	SKI3
	YLR398C	SKI2
102	YOR160W	MTR10
	YBR017C	KAP104
	YBL040C	ERD2
	YGL122C	NAB2
	YEL022W	GEA2
103	YBR171W	SEC66
	YLR292C	SEC72
	YOR254C	SEC63
	YPL094C	SEC62
104	YDR484W	VPS52
	YKR020W	VPS51
	YDR027C	VPS54
	YJL029C	VPS53
	YJL034W	KAR2
105	YAL034WA	MTW1
	YPL233W	NSL1
	YJR112W	NNF1
	YIR010W	DSN1
106	YLR337C	VRP1
	YOR181W	LAS17
	YML001W	YPT7
	YBL007C	SLA1
107	YJR074W	MOG1
	YLR293C	GSP1
	YGL097W	SRM1
	YOR185C	GSP2
108	YBR094W	YBR094W
	YOL149W	DCP1
	YNL118C	DCP2
	YEL015W	EDC3
109	YHR172W	SPC97
	YLR212C	TUB4
	YNL126W	SPC98
	YAL047C	SPC72
110	YNL224C	YNL224C
	YGR280C	PXR1
	YGR159C	NSR1
	YGL120C	PRP43
111	YML036W	CGI121
	YGR262C	BUD32
	YJL184W	GON7
	YKR038C	KAE1
112	YLR207W	HRD3
	YDR057W	YOS9
	YML029W	USA1
	YOL013C	HRD1
113	YMR261C	TPS3
	YBR126C	TPS1
	YML100W	TSL1
	YDR074W	TPS2
114	YKL182W	FAS1
	YBR121C	GRS1
	YPL231W	FAS2
	YDL112W	TRM3
115	YIL144W	TID3
	YOL069W	NUF2
	YMR117C	SPC24
	YER018C	SPC25
116	YJL164C	TPK1
	YIL033C	BCY1
	YKL166C	TPK3
	YPL203W	TPK2
117	YBR215W	HPC2
	YBL008W	HIR1
	YOR038C	HIR2
	YJR140C	HIR3
118	YMR120C	ADE17
	YLR028C	ADE16
	YCR073WA	SOL2
	YNR034W	SOL1
119	YCR087CA	LUG1
	YPR169W	JIP5
	YIL105C	SLM1
	YPL146C	NOP53
120	YKL029C	MAE1
	YBL076C	ILS1
	YML124C	TUB3
	YDR457W	TOM1
121	YDL067C	COX9
	YHR051W	COX6
	YGL187C	COX4
	YNL052W	COX5A
122	YIL034C	CAP2
	YKL007W	CAP1
	YIR003W	YIR003W
	YER071C	YER071C
123	YER178W	PDA1
	YNL071W	LAT1
	YBR221C	PDB1
	YGR193C	PDX1
124	YDL208W	NHP2
	YHR089C	GAR1
	YHR072WA	NOP10
	YLR175W	CBF5
	YDL014W	NOP1
125	YBR137W	YBR137W
	YOR164C	YOR164C
	YOL111C	MDY2
	YOR007C	SGT2
126	YJL033W	HCA4
	YDR365C	ESF1
	YNR054C	ESF2
	YHR065C	RRP3
	YDR299W	BFR2
	YGR145W	ENP2
127	YNL149C	PGA2
	YOL098C	YOL098C
	YDL055C	PSA1
	YIL070C	MAM33
128	YPL226W	NEW1
	YBR196C	PGI1
	YJR142W	YJR142W
	YLR249W	YEF3
129	YDR032C	PST2
	YBR053C	YBR053C
	YCR004C	YCP4
	YBR052C	RFS1
130	YPL195W	APL5
	YJL024C	APS3
	YBR288C	APM3
	YGR261C	APL6
131	YBL087C	RPL23A
	YDR361C	BCP1
	YPL208W	RKM1
	YER117W	RPL23B
132	YCL008C	STP22
	YGR206W	MVB12
	YPL065W	VPS28
	YLR119W	SRN2
133	YDR127W	ARO1
	YGR240C	PFK1
	YPL193W	RSA1
	YOR286W	FMP31
134	YLR088W	GAA1
	YDR331W	GPI8
	YDR434W	GPI17
	YHR188C	GPI16
135	YCL032W	STE50
	YLR362W	STE11
	YBR185C	MBA1
136	YCL031C	RRP7
	YLR223C	IFH1
	YGR090W	UTP22
137	YPR051W	MAK3
	YEL053C	MAK10
	YCR020CA	MAK31
138	YLL010C	PSR1
	YLR019W	PSR2
	YOR043W	WHI2
139	YML017W	PSP2
	YPR129W	SCD6
	YBR034C	HMT1
140	YML112W	CTK3
	YJL006C	CTK2
	YKL139W	CTK1
141	YAL034C	FUN19
	YPR174C	YPR174C
	YER110C	KAP123
142	YPL023C	MET12
	YGL125W	MET13
	YML082W	YML082W
143	YJL074C	SMC3
	YFL008W	SMC1
	YDL003W	MCD1
144	YML095C	RAD10
	YAL027W	YAL027W
	YPL022W	RAD1
145	YBR267W	REI1
	YHR170W	NMD3
	YGL099W	LSG1
146	YMR203W	TOM40
	YPR024W	YME1
	YJL066C	MPM1
147	YDL108W	KIN28
	YPR025C	CCL1
	YDR460W	TFB3
148	YGR285C	ZUO1
	YHR064C	SSZ1
	YJL080C	SCP160
149	YBL056W	PTC3
	YER089C	PTC2
	YDR071C	PAA1
150	YDL042C	SIR2
	YJL076W	NET1
	YDR227W	SIR4
151	YLR089C	ALT1
	YLR259C	HSP60
	YOL042W	NGL1
152	YMR197C	VTI1
	YKL196C	YKT6
	YOR036W	PEP12
153	YJL130C	URA2
	YJR109C	CPA2
	YOR303W	CPA1
154	YEL037C	RAD23
	YPL096W	PNG1
	YER162C	RAD4
155	YHR005C	GPA1
	YOR212W	STE4
	YDR264C	AKR1
156	YGR167W	CLC1
	YGL206C	CHC1
	YPL106C	SSE1
157	YCL048W	SPS22
	YCR024C	SLM5
	YBL014C	RRN6
158	YML072C	TCB3
	YOR153W	PDR5
	YAL053W	FLC2
159	YPL183C	YPL183C
	YMR259C	YMR259C
	YBR061C	TRM7
160	YLR182W	SWI6
	YER111C	SWI4
	YDL056W	MBP1
161	YJR006W	HYS2
	YDL102W	CDC2
	YJR043C	POL32
162	YAR042W	SWH1
	YLR183C	TOS4
	YHR195W	NVJ1
163	YGR178C	PBP1
	YHR121W	LSM12
	YDL053C	PBP4
164	YOL018C	TLG2
	YDR468C	TLG1
	YGL095C	VPS45
165	YGR264C	MES1
	YGL105W	ARC1
	YGL245W	GUS1
166	YMR099C	YMR099C
	YKR079C	TRZ1
	YJL208C	NUC1
167	YNL135C	FPR1
	YIL161W	YIL161W
	YNL023C	FAP1
168	YGR180C	RNR4
	YJL026W	RNR2
	YOR230W	WTM1
169	YDR097C	MSH6
	YCR092C	MSH3
	YOL090W	MSH2
170	YAL042W	ERV46
	YML067C	ERV41
	YML130C	ERO1
171	YDL040C	NAT1
	YOR253W	NAT5
	YHR013C	ARD1
172	YBR169C	SSE2
	YGR238C	KEL2
	YDR349C	YPS7
173	YBL079W	NUP170
	YOR032C	HMS1
	YMR153W	NUP53
174	YGL155W	CDC43
	YDL090C	RAM1
	YKL019W	RAM2
175	YER136W	GDI1
	YLR262C	YPT6
	YER031C	YPT31
176	YBR039W	ATP3
	YKL016C	ATP7
	YDR298C	ATP5
177	YGR071C	YGR071C
	YLR373C	VID22
	YPL128C	TBF1
178	YER103W	SSA4
	YLR380W	CSR1
	YBL075C	SSA3
179	YDR092W	UBC13
	YMR140W	SIP5
	YGL087C	MMS2
180	YER171W	RAD3
	YDR267C	CIA1
	YIL128W	MET18
181	YNL055C	POR1
	YAR010C	YAR010C
	YGL008C	PMA1
182	YGR218W	CRM1
	YFL037W	TUB2
	YMR235C	RNA1
183	YLR005W	SSL1
	YDR311W	TFB1
	YPR056W	TFB4
184	YDR252W	BTT1
	YPL037C	EGD1
	YHR193C	EGD2
185	YOR267C	HRK1
	YGR161C	RTS3
	YJL098W	SAP185
186	YDR295C	HDA2
	YNL021W	HDA1
	YPR179C	HDA3
187	YPR031W	NTO1
	YBL052C	SAS3
	YLR455W	YLR455W
188	YGR283C	YGR283C
	YMR310C	YMR310C
	YNL009W	IDP3
189	YLR043C	TRX1
	YEL030W	ECM10
	YGR087C	PDC6
190	YGL246C	RAI1
	YDR289C	RTT103
	YOR048C	RAT1
191	YML006C	GIS4
	YMR205C	PFK2
	YJL157C	FAR1
192	YEL005C	VAB2
	YKL061W	YKL061W
	YDR357C	YDR357C
193	YGL237C	HAP2
	YOR358W	HAP5
	YBL021C	HAP3
194	YLR310C	CDC25
	YBR225W	YBR225W
	YGL197W	MDS3
195	YDR164C	SEC1
	YOR204W	DED1
	YJR138W	IML1
196	YGR214W	RPS0A
	YLR048W	RPS0B
	YIL026C	IRR1
197	YML102W	CAC2
	YBR195C	MSI1
	YPR018W	RLF2
198	YNL007C	SIS1
	YPR035W	GLN1
	YDR171W	HSP42
199	YMR167W	MLH1
	YLR035C	MLH2
	YNL082W	PMS1
200	YNR046W	TRM112
	YML014W	TRM9
	YOL124C	TRM11
201	YOR205C	FMP38
	YDR517W	GRH1
	YDL099W	BUG1
202	YNL325C	FIG4
	YLR386W	VAC14
203	YER017C	AFG3
	YMR089C	YTA12
	YGR231C	PHB2
	YGR132C	PHB1
204	YLR105C	SEN2
	YPL083C	SEN54
205	YCL017C	NFS1
	YER048WA	ISD11
206	YML074C	FPR3
	YNL209W	SSB2
207	YJL031C	BET4
	YPR176C	BET2
208	YHR102W	KIC1
	YOR353C	SOG2
209	YMR192W	GYL1
	YPL249C	GYP5
210	YJL036W	SNX4
	YDR425W	SNX41
211	YDR202C	RAV2
	YJR033C	RAV1
	YDR328C	SKP1
212	YKL157W	APE2
	YNL085W	MKT1
213	YNL104C	LEU4
	YOR108W	LEU9
214	YHR186C	KOG1
	YJR066W	TOR1
215	YPR072W	NOT5
	YDL165W	CDC36
216	YJR104C	SOD1
	YMR038C	CCS1
217	YOR352W	YOR352W
	YIL143C	SSL2
218	YPR048W	TAH18
	YKR071C	DRE2
219	YDR369C	XRS2
	YMR224C	MRE11
220	YLR258W	GSY2
	YFR015C	GSY1
221	YPL127C	HHO1
	YPR052C	NHP6A
222	YJL125C	GCD14
	YNL062C	GCD10
223	YGR003W	CUL3
	YIL001W	YIL001W
224	YJR014W	TMA22
	YER007CA	TMA20
225	YBL067C	UBP13
	YOL087C	YOL087C
226	YDR150W	NUM1
	YFL017C	GNA1
227	YLR199C	YLR199C
	YKL206C	ADD66
228	YDR390C	UBA2
	YPR180W	AOS1
229	YEL043W	YEL043W
	YGR089W	NNF2
230	YPR145W	ASN1
	YGR124W	ASN2
231	YKR059W	TIF1
	YJL138C	TIF2
	YOR133W	EFT1
	YDR385W	EFT2
	YKL060C	FBA1
232	YDL100C	GET3
	YER083C	GET2
233	YNL242W	ATG2
	YFR021W	ATG18
234	YOR213C	SAS5
	YOR229W	WTM2
235	YKL190W	CNB1
	YML057W	CMP2
	YBR109C	CMD1
236	YJR136C	YJR136C
	YKL033W	YKL033W
237	YFR024CA	LSB3
	YNL243W	SLA2
238	YJL002C	OST1
	YGL022W	STT3
239	YMR149W	SWP1
	YEL002C	WBP1
240	YEL058W	PCM1
	YNL218W	MGS1
241	YDR079CA	TFB5
	YPL122C	TFB2
242	YGL062W	PYC1
	YBR218C	PYC2
243	YPR131C	NAT3
	YOL076W	MDM20
244	YCL016C	DCC1
	YHR191C	CTF8
245	YNL223W	ATG4
	YPR080W	TEF1
246	YGR271CA	YGR271CA
	YMR014W	BUD22
247	YOR058C	ASE1
	YMR072W	ABF2
248	YOR251C	YOR251C
	YOR346W	REV1
249	YPL049C	DIG1
	YHR084W	STE12
250	YGL130W	CEG1
	YPL228W	CET1
251	YOR173W	DCS2
	YLR270W	DCS1
252	YNL246W	VPS75
	YLL002W	RTT109
253	YDR186C	YDR186C
	YBR125C	PTC4
254	YJL030W	MAD2
	YGL086W	MAD1
255	YHL020C	OPI1
	YER120W	SCS2
256	YIR002C	MPH1
	YBR136W	MEC1
257	YDL105W	NSE4
	YEL019C	MMS21
258	YML035C	AMD1
	YJL070C	YJL070C
259	YNL072W	RNH201
	YDR279W	RNH202
260	YJL180C	ATP12
	YIL098C	FMC1
261	YAL041W	CDC24
	YER114C	BOI2
262	YDR172W	SUP35
	YBR143C	SUP45
263	YDR165W	TRM82
	YDL201W	TRM8
264	YKL211C	TRP3
	YER090W	TRP2
265	YGR185C	TYS1
	YNL230C	ELA1
266	YFL022C	FRS2
	YLR060W	FRS1
267	YLR142W	PUT1
	YMR315W	YMR315W
268	YPR173C	VPS4
	YLR025W	SNF7
269	YLR113W	HOG1
	YLR248W	RCK2
270	YDR231C	COX20
	YNL192W	CHS1
271	YER147C	SCC4
	YDR180W	SCC2
272	YCR079W	PTC6
	YOR323C	PRO2
273	YMR012W	CLU1
	YLR180W	SAM1
	YKL182W	FAS1
	YML124C	TUB3
	YIL075C	RPN2
	YGL195W	GCN1
	YLR106C	MDN1
	YPR010C	RPA135
	YOR151C	RPB2
	YHR020W	YHR020W
274	YBR229C	ROT2
	YDR221W	GTB1
275	YJR067C	YAE1
	YNL260C	YNL260C
276	YAL038W	CDC19
	YOR347C	PYK2
277	YLR226W	BUR2
	YPR161C	SGV1
278	YER070W	RNR1
	YDR502C	SAM2
279	YIL106W	MOB1
	YPR111W	DBF20
280	YNL214W	PEX17
	YGL153W	PEX14
281	YBR260C	RGD1
	YGR196C	FYV8
282	YBL050W	SEC17
	YDR189W	SLY1
283	YOL067C	RTG1
	YBL103C	RTG3
284	YGL252C	RTG2
	YNL076W	MKS1
285	YNL264C	PDR17
	YGR170W	PSD2
286	YOR154W	YOR154W
	YER140W	YER140W
287	YNL084C	END3
	YIR006C	PAN1
288	YGR188C	BUB1
	YOR026W	BUB3
289	YNR051C	BRE5
	YER151C	UBP3
290	YHR124W	NDT80
	YGR019W	UGA1
291	YMR048W	CSM3
	YNL273W	TOF1
292	YMR177W	MMT1
	YDR244W	PEX5
293	YIL129C	TAO3
	YML081W	YML081W
294	YGR010W	NMA2
	YLR328W	NMA1
295	YER143W	DDI1
	YJR143C	PMT4
296	YHR024C	MAS2
	YLR163C	MAS1
297	YKL154W	SRP102
	YDR292C	SRP101
298	YHR117W	TOM71
	YLR072W	YLR072W
299	YDR062W	LCB2
	YMR296C	LCB1
300	Q0080	AAP1
	YHR047C	AAP1'
301	YIR001C	SGN1
301	YGR250C	YGR250C
302	YPR133C	SPN1
302	YGR116W	SPT6
303	YHL002W	HSE1
303	YNR006W	VPS27
304	YKL074C	MUD2
304	YLR116W	MSL5
305	YML070W	DAK1
305	YLL048C	YBT1
306	YGR006W	PRP18
306	YDR088C	SLU7
307	YMR106C	YKU80
307	YMR284W	YKU70
308	YDR415C	YDR415C
308	YKL210W	UBA1
309	YOR142W	LSC1
309	YGR244C	LSC2
310	YOR326W	MYO2
310	YOR035C	SHE4
311	YJL141C	YAK1
311	YPL247C	YPL247C
312	YPL003W	ULA1
312	YPR066W	UBA3
313	YOR370C	MRS6
313	YLR403W	SFP1
314	YLR342W	FKS1
314	YDR170C	SEC7
315	YLR435W	TSR2
315	YER131W	RPS26B
316	YGR093W	YGR093W
316	YKL149C	DBR1
317	YDL132W	CDC53
317	YDR054C	CDC34
318	YDR458C	YDR458C
318	YNL280C	ERG24
319	YER043C	SAH1
319	YFL028C	CAF16
320	YDR388W	RVS167
320	YCR009C	RVS161
321	YLR257W	YLR257W
321	YDL171C	GLT1
322	YBL105C	PKC1
322	YGR254W	ENO1
323	YHR106W	TRR2
323	YDR353W	TRR1
324	YOL086C	ADH1
324	YMR303C	ADH2
325	YGL167C	PMR1
325	YNL169C	PSD1
326	YHR204W	MNL1
326	YCL043C	PDI1
327	YGR234W	YHB1
327	YLR304C	ACO1
328	YNL037C	IDH1
328	YOR136W	IDH2
329	YML055W	SPC2
329	YDR306C	YDR306C
330	YLR417W	VPS36
330	YPL002C	SNF8
331	YGL079W	YGL079W
331	YLR408C	YLR408C
332	YER081W	SER3
332	YIL074C	SER33
333	YLR319C	BUD6
333	YOR304CA	YOR304CA
334	YNL141W	AAH1
334	YBR280C	YBR280C
335	YLL041C	SDH2
335	YKL148C	SDH1
336	YGR175C	ERG1
336	YHR020W	YHR020W
337	YKL058W	TOA2
337	YOR194C	TOA1
338	YCR066W	RAD18
338	YGL058W	RAD6
339	YAR035W	YAT1
339	YAL039C	CYC3
340	YPR069C	SPE3
340	YLR146C	SPE4
341	YJR009C	TDH2
341	YJL052W	TDH1
342	YLR178C	TFS1
342	YMR297W	PRC1
343	YBL099W	ATP1
343	YGR281W	YOR1
344	YPR017C	DSS4
344	YFL038C	YPT1
345	YIL148W	RPL40A
345	YMR083W	ADH3
346	YLL032C	YLL032C
346	YML119W	YML119W
347	YJL049W	YJL049W
347	YDR050C	TPI1
348	YKL025C	PAN3
348	YGL094C	PAN2
349	YHR072W	ERG7
349	YLR100W	ERG27
350	YJR049C	UTR1
350	YEL041W	YEF1
351	YPR074C	TKL1
351	YBR117C	TKL2
352	YDL182W	LYS20
352	YDL131W	LYS21
353	YPL046C	ELC1
353	YJR052W	RAD7
354	YDR035W	ARO3
354	YDR375C	BCS1
355	YNL297C	MON2
355	YDR141C	DOP1
356	YMR258C	YMR258C
356	YKR014C	YPT52
357	YDR152W	GIR2
357	YGR173W	RBG2
358	YLR410W	VIP1
358	YGR017W	YGR017W
359	YDR381W	YRA1
359	YOR211C	MGM1
360	YML114C	TAF8
360	YCR042C	TAF2
361	YLR139C	SLS1
361	YDL044C	MTF2
362	YDR137W	RGP1
362	YLR039C	RIC1
363	YHL011C	PRS3
363	YKL181W	PRS1
364	YLR345W	YLR345W
364	YJL155C	FBP26
365	YNL138W	SRV2
365	YJL005W	CYR1
366	YER149C	PEA2
366	YLL021W	SPA2
367	YAL024C	LTE1
367	YHR158C	KEL1
368	YGL131C	SNT2
368	YMR176W	ECM5
369	YPL171C	OYE3
369	YHR179W	OYE2
370	YBR025C	YBR025C
370	YGL039W	YGL039W
371	YBL030C	PET9
371	YJR077C	MIR1
372	YMR246W	FAA4
372	YGL082W	YGL082W
373	YLR389C	STE23
373	YPL184C	YPL184C
374	YML075C	HMG1
374	YLR450W	HMG2
375	YDR310C	SUM1
375	YOR279C	RFM1
376	YDL070W	BDF2
376	YLR399C	BDF1
377	YMR031C	YMR031C
377	YGR130C	YGR130C
378	YJL115W	ASF1
378	YPL153C	RAD53
379	YLR436C	ECM30
379	YMR304W	UBP15
380	YOL031C	SIL1
380	YNL238W	KEX2
381	YOL034W	SMC5
381	YDR288W	NSE3
382	YOL072W	THP1
382	YDR159W	SAC3
383	YPL055C	LGE1
383	YDL074C	BRE1
384	YEL022W	GEA2
384	YML085C	TUB1
385	YOR375C	GDH1
385	YAL062W	GDH3
386	YBR202W	CDC47
386	YGL001C	ERG26
387	YMR293C	YMR293C
387	YBL080C	PET112
388	YPR140W	YPR140W
388	YGL173C	KEM1
389	YKL028W	TFA1
389	YKR062W	TFA2
390	YNL186W	UBP10
390	YKL078W	DHR2
391	YHR122W	YHR122W
391	YNL240C	NAR1
392	YEL061C	CIN8
392	YNL241C	ZWF1
393	YJL047C	RTT101
393	YOL063C	CRT10
394	YNL191W	YNL191W
394	YBR281C	YBR281C
395	YLR006C	SSK1
395	YNR031C	SSK2
396	YAL061W	YAL061W
396	YAL060W	BDH1
397	YJR064W	CCT5
397	YNR016C	ACC1
398	YJR148W	BAT2
398	YHR208W	BAT1
399	YBL047C	EDE1
399	YCR030C	SYP1
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
